,steps,loss,plain,smorl
650,130200,3.6731514930725098,3.453,0.22
651,130400,3.8496158123016357,3.645,0.205
652,130600,3.743427038192749,3.563,0.181
653,130800,3.7171428203582764,3.548,0.169
654,131000,3.6312270164489746,3.411,0.22
655,131200,3.900178909301758,3.65,0.25
656,131400,3.3631246089935303,3.143,0.22
657,131600,3.973092794418335,3.737,0.236
658,131800,3.806460380554199,3.597,0.21
659,132000,3.813743829727173,3.578,0.236
660,132200,3.9602255821228027,3.733,0.227
661,132400,4.000912666320801,3.773,0.228
662,132600,3.7820048332214355,3.547,0.235
663,132800,3.9003543853759766,3.707,0.194
664,133000,3.8942904472351074,3.67,0.224
665,133200,3.7778751850128174,3.517,0.261
666,133400,3.979389190673828,3.731,0.249
667,133600,3.7856945991516113,3.584,0.202
668,133800,4.090270042419434,3.879,0.211
669,134000,3.881155014038086,3.688,0.193
670,134200,3.4778709411621094,3.274,0.204
671,134400,3.912008762359619,3.678,0.234
672,134600,3.709261417388916,3.51,0.199
673,134800,3.826061964035034,3.606,0.22
674,135000,3.796865224838257,3.584,0.213
675,135200,3.7949941158294678,3.586,0.209
676,135400,3.748354911804199,3.57,0.178
677,135600,3.6577534675598145,3.487,0.171
678,135800,3.667104959487915,3.428,0.239
679,136000,3.579890012741089,3.37,0.21
680,136200,3.9378538131713867,3.698,0.24
681,136400,3.9665539264678955,3.791,0.175
682,136600,3.8001296520233154,3.596,0.204
683,136800,3.7181344032287598,3.549,0.169
684,137000,3.6165294647216797,3.396,0.221
685,137200,4.022024154663086,3.806,0.216
686,137400,3.7081856727600098,3.461,0.247
687,137600,3.8716671466827393,3.68,0.192
688,137800,3.735987424850464,3.524,0.212
689,138000,3.8997273445129395,3.684,0.216
690,138200,3.57497501373291,3.407,0.168
691,138400,4.065526962280273,3.879,0.187
692,138600,3.7046806812286377,3.486,0.219
693,138800,3.7368035316467285,3.52,0.216
694,139000,4.018104553222656,3.815,0.203
695,139200,3.9701356887817383,3.681,0.289
696,139400,4.312208652496338,4.051,0.262
697,139600,3.6459431648254395,3.426,0.22
698,139800,3.6638870239257812,3.506,0.158
699,140000,3.9628751277923584,3.719,0.244
700,140200,3.852691650390625,3.664,0.189
701,140400,4.256938934326172,3.99,0.267
702,140600,3.923633098602295,3.699,0.225
703,140800,3.5758612155914307,3.392,0.184
704,141000,4.049575328826904,3.831,0.219
705,141200,3.7210988998413086,3.534,0.187
706,141400,3.6649322509765625,3.473,0.192
707,141600,3.4795053005218506,3.269,0.211
708,141800,3.8441262245178223,3.582,0.262
709,142000,3.813483715057373,3.619,0.194
710,142200,4.132603645324707,3.923,0.21
711,142400,3.487352132797241,3.31,0.177
712,142600,3.7726805210113525,3.576,0.196
713,142800,3.705009698867798,3.464,0.241
714,143000,3.673308849334717,3.463,0.21
715,143200,3.982243299484253,3.722,0.26
716,143400,3.6588850021362305,3.464,0.195
717,143600,3.9507696628570557,3.716,0.235
718,143800,4.052216053009033,3.838,0.214
719,144000,3.8534679412841797,3.643,0.211
720,144200,3.9698803424835205,3.763,0.207
721,144400,3.787008762359619,3.595,0.192
722,144600,3.976972818374634,3.737,0.24
723,144800,3.6339850425720215,3.391,0.243
724,145000,3.9563112258911133,3.742,0.214
725,145200,3.8125860691070557,3.609,0.204
726,145400,3.8755548000335693,3.719,0.157
727,145600,3.600846529006958,3.414,0.187
728,145800,3.76297926902771,3.552,0.21
729,146000,3.818225860595703,3.566,0.252
730,146200,3.6845431327819824,3.485,0.2
731,146400,3.971177577972412,3.76,0.211
732,146600,3.8770253658294678,3.65,0.227
733,146800,3.7401514053344727,3.556,0.184
734,147000,4.003326892852783,3.801,0.203
735,147200,3.8610763549804688,3.606,0.255
736,147400,3.961291551589966,3.728,0.233
737,147600,4.15442419052124,3.862,0.292
738,147800,3.656214952468872,3.428,0.228
739,148000,3.6735072135925293,3.433,0.24
740,148200,3.923255443572998,3.678,0.245
741,148400,3.736236572265625,3.513,0.223
742,148600,3.5686850547790527,3.391,0.178
743,148800,3.7032580375671387,3.516,0.187
744,149000,3.7107608318328857,3.501,0.209
745,149200,3.9129762649536133,3.683,0.23
746,149400,3.625718593597412,3.373,0.253
747,149600,3.893301486968994,3.658,0.236
748,149800,3.5008819103240967,3.286,0.214
749,150000,3.644157886505127,3.439,0.205
750,150200,3.587709665298462,3.404,0.184
751,150400,3.5385453701019287,3.317,0.222
752,150600,3.687441825866699,3.476,0.211
753,150800,3.5481090545654297,3.393,0.155
754,151000,3.7511954307556152,3.552,0.199
755,151200,3.6676127910614014,3.46,0.207
756,151400,3.56427001953125,3.353,0.212
757,151600,3.8070132732391357,3.619,0.188
758,151800,3.7217843532562256,3.501,0.221
759,152000,3.6200098991394043,3.38,0.24
760,152200,3.841597080230713,3.638,0.204
761,152400,3.785583734512329,3.542,0.244
762,152600,3.724226474761963,3.541,0.183
763,152800,3.707277536392212,3.47,0.238
764,153000,3.9182960987091064,3.663,0.255
765,153200,3.7985692024230957,3.541,0.258
766,153400,3.8658740520477295,3.65,0.215
767,153600,3.942526340484619,3.714,0.229
768,153800,3.788630962371826,3.583,0.206
769,154000,3.8277549743652344,3.651,0.177
770,154200,3.460796356201172,3.251,0.21
771,154400,3.8593673706054688,3.696,0.163
772,154600,3.7826409339904785,3.549,0.233
773,154800,3.9948272705078125,3.724,0.271
774,155000,3.865525007247925,3.637,0.229
775,155200,3.4528355598449707,3.265,0.188
776,155400,4.133073806762695,3.915,0.218
777,155600,3.5780398845672607,3.401,0.177
778,155800,3.566981554031372,3.378,0.189
779,156000,3.510586977005005,3.344,0.166
780,156200,3.308725357055664,3.112,0.197
781,156400,3.4895877838134766,3.291,0.198
782,156600,3.25016188621521,3.027,0.224
783,156800,3.7597496509552,3.539,0.221
784,157000,3.760211944580078,3.494,0.266
785,157200,3.7094125747680664,3.458,0.252
786,157400,3.9593119621276855,3.755,0.204
787,157600,3.8134453296661377,3.624,0.189
788,157800,3.8457400798797607,3.589,0.257
789,158000,3.4864723682403564,3.285,0.202
790,158200,3.715208053588867,3.462,0.253
791,158400,3.723618745803833,3.507,0.217
792,158600,3.841892957687378,3.624,0.218
793,158800,3.7182841300964355,3.483,0.235
794,159000,3.9141018390655518,3.706,0.208
795,159200,3.746284246444702,3.529,0.217
796,159400,4.028392314910889,3.797,0.232
797,159600,4.042168140411377,3.849,0.194
798,159800,3.9465878009796143,3.682,0.264
799,160000,3.9491803646087646,3.726,0.223
800,160200,3.9737164974212646,3.768,0.206
801,160400,3.4280056953430176,3.211,0.217
802,160600,3.356292963027954,3.189,0.167
803,160800,3.659343957901001,3.468,0.192
804,161000,3.6661899089813232,3.45,0.216
805,161200,3.541274309158325,3.347,0.194
806,161400,3.7623062133789062,3.565,0.197
807,161600,4.205286502838135,3.969,0.236
808,161800,3.3890669345855713,3.208,0.181
809,162000,3.4667627811431885,3.252,0.215
810,162200,3.9934017658233643,3.749,0.244
811,162400,3.525942325592041,3.369,0.157
812,162600,3.6989424228668213,3.466,0.233
813,162800,3.8494646549224854,3.682,0.168
