,steps,loss
0,200,8.360198974609375
1,400,7.1657514572143555
2,600,6.222375869750977
3,800,5.945836067199707
4,1000,5.798305034637451
5,1200,5.710009574890137
6,1400,5.952022552490234
7,1600,5.640627861022949
8,1800,5.530963897705078
9,2000,5.795695781707764
10,2200,5.3177618980407715
11,2400,5.607902526855469
12,2600,5.70285177230835
13,2800,5.168149471282959
14,3000,4.707021713256836
15,3200,4.706211090087891
16,3400,4.951452732086182
17,3600,5.263156414031982
18,3800,4.946860313415527
19,4000,4.884460926055908
20,4200,4.796549320220947
21,4400,5.529509544372559
22,4600,5.2086501121521
23,4800,4.927605152130127
24,5000,4.959632873535156
25,5200,5.135238170623779
26,5400,4.66795015335083
27,5600,4.892771244049072
28,5800,4.249943733215332
29,6000,4.563838958740234
30,6200,4.469945907592773
31,6400,4.3580098152160645
32,6600,4.583638668060303
33,6800,4.706780910491943
34,7000,4.559751510620117
35,7200,4.6091389656066895
36,7400,5.003194332122803
37,7600,4.421614170074463
38,7800,4.447769641876221
39,8000,4.7960381507873535
40,8200,5.059730529785156
41,8400,4.6551032066345215
42,8600,4.0158305168151855
43,8800,4.201280117034912
44,9000,4.387242794036865
45,9200,4.432027339935303
46,9400,4.771918773651123
47,9600,4.45119047164917
48,9800,4.770611763000488
49,10000,4.629336833953857
50,10200,4.6447672843933105
51,10400,4.507546424865723
52,10600,4.616995811462402
53,10800,4.699633598327637
54,11000,4.666680812835693
55,11200,4.6261749267578125
56,11400,4.693867206573486
57,11600,3.9744274616241455
58,11800,3.7317492961883545
59,12000,4.134296894073486
60,12200,4.188070774078369
61,12400,4.404934883117676
62,12600,4.539054870605469
63,12800,4.1037092208862305
64,13000,4.266984462738037
65,13200,4.542212963104248
66,13400,4.6761698722839355
67,13600,4.587004661560059
68,13800,4.5934977531433105
69,14000,4.40578031539917
70,14200,4.420343399047852
71,14400,3.892045736312866
72,14600,3.7955222129821777
73,14800,4.065911769866943
74,15000,4.036639213562012
75,15200,4.293487548828125
76,15400,4.4679155349731445
77,15600,4.184634208679199
78,15800,4.262501239776611
79,16000,4.535201549530029
80,16200,4.286603927612305
81,16400,4.181621074676514
82,16600,4.168896675109863
83,16800,4.4748454093933105
84,17000,4.2845139503479
85,17200,3.7071797847747803
86,17400,3.728632926940918
87,17600,3.9594099521636963
88,17800,3.804302453994751
89,18000,4.117412090301514
90,18200,4.267237663269043
91,18400,4.220673084259033
92,18600,4.029716491699219
93,18800,4.056307792663574
94,19000,4.055224418640137
95,19200,4.518765449523926
96,19400,4.122178077697754
97,19600,4.553746700286865
98,19800,4.484961986541748
99,20000,3.401080846786499
100,20200,3.7061800956726074
101,20400,4.096152305603027
102,20600,3.9189019203186035
103,20800,3.9507477283477783
104,21000,4.019464015960693
105,21200,3.9147448539733887
106,21400,4.4037322998046875
107,21600,4.133486747741699
108,21800,4.014547348022461
109,22000,4.191277980804443
110,22200,4.080495357513428
111,22400,4.287783145904541
112,22600,4.013211250305176
113,22800,4.426880836486816
114,23000,3.731419563293457
115,23200,3.823251247406006
116,23400,4.02770471572876
117,23600,3.623812198638916
118,23800,3.7572102546691895
119,24000,3.99726939201355
120,24200,3.959371566772461
121,24400,4.147481441497803
122,24600,4.380527496337891
123,24800,4.369485855102539
124,25000,4.22016716003418
125,25200,4.220138072967529
126,25400,4.509454727172852
127,25600,4.37957763671875
128,25800,3.574080228805542
129,26000,3.277695417404175
130,26200,3.993974208831787
131,26400,3.6847734451293945
132,26600,3.840833902359009
133,26800,4.152796745300293
134,27000,3.818643569946289
135,27200,3.862778663635254
136,27400,3.9740114212036133
137,27600,3.9982340335845947
138,27800,4.406960964202881
139,28000,3.923219680786133
140,28200,4.255478858947754
141,28400,3.933342456817627
142,28600,3.3934640884399414
143,28800,3.422166347503662
144,29000,3.6003849506378174
145,29200,3.4902031421661377
146,29400,3.7752888202667236
147,29600,4.195010185241699
148,29800,3.5760350227355957
149,30000,3.967331647872925
