,steps,loss
0,200,10.463383674621582
1,400,10.541478157043457
2,600,10.073687553405762
3,800,10.011533737182617
4,1000,9.789369583129883
5,1200,10.045886993408203
6,1400,9.587142944335938
7,1600,9.744011878967285
8,1800,9.081520080566406
9,2000,9.423863410949707
10,2200,9.796562194824219
11,2400,8.966117858886719
12,2600,9.349079132080078
13,2800,9.087605476379395
14,3000,9.302647590637207
15,3200,8.746270179748535
16,3400,8.795742988586426
17,3600,8.529121398925781
18,3800,9.017210960388184
19,4000,7.5036163330078125
20,4200,7.864190101623535
21,4400,7.900203227996826
22,4600,7.584257125854492
23,4800,7.762212753295898
24,5000,7.476254463195801
25,5200,7.388891220092773
26,5400,7.32795524597168
27,5600,7.471468448638916
28,5800,7.9698638916015625
29,6000,7.468337059020996
30,6200,7.533688545227051
31,6400,7.564072608947754
32,6600,8.151627540588379
33,6800,7.739833831787109
34,7000,7.708427906036377
35,7200,7.202008247375488
36,7400,7.35949182510376
37,7600,7.480982780456543
38,7800,6.235982894897461
39,8000,6.82765531539917
40,8200,6.591306686401367
41,8400,6.800131320953369
42,8600,6.403041362762451
43,8800,6.397721290588379
44,9000,6.106454849243164
45,9200,5.968300819396973
46,9400,6.480050086975098
47,9600,7.104804992675781
48,9800,6.196967601776123
49,10000,6.327308177947998
50,10200,7.036194324493408
51,10400,5.947573184967041
52,10600,6.385764122009277
53,10800,6.500816345214844
54,11000,6.277098655700684
55,11200,6.515820503234863
56,11400,5.865350246429443
57,11600,5.831725597381592
58,11800,5.895755767822266
59,12000,6.249035358428955
60,12200,5.888942718505859
61,12400,5.6568284034729
62,12600,5.959120273590088
63,12800,5.783226013183594
64,13000,5.860018730163574
65,13200,6.169314384460449
66,13400,6.062127590179443
67,13600,5.4961371421813965
68,13800,5.669177055358887
69,14000,5.74662971496582
70,14200,6.567022800445557
71,14400,6.241216659545898
72,14600,5.934512615203857
73,14800,5.807516098022461
74,15000,5.781275749206543
75,15200,6.116620063781738
76,15400,5.723475456237793
77,15600,5.317531585693359
78,15800,5.140499114990234
79,16000,5.247413158416748
80,16200,5.33718729019165
81,16400,5.384322166442871
82,16600,5.817440032958984
83,16800,5.012986660003662
84,17000,5.6517653465271
85,17200,5.038074493408203
86,17400,5.735055446624756
87,17600,5.026649475097656
88,17800,5.653378486633301
89,18000,5.136160373687744
90,18200,5.54413366317749
91,18400,5.149910926818848
92,18600,5.319878578186035
93,18800,5.101905822753906
94,19000,5.1773858070373535
95,19200,5.650711536407471
96,19400,5.109628677368164
97,19600,5.09514045715332
98,19800,4.8133745193481445
99,20000,5.0858259201049805
100,20200,5.415635585784912
101,20400,5.040111541748047
102,20600,4.79371452331543
103,20800,5.157415390014648
104,21000,4.785191535949707
105,21200,5.229284286499023
106,21400,5.191421031951904
107,21600,5.22049617767334
108,21800,5.391824722290039
109,22000,5.415342807769775
110,22200,5.165759563446045
