,steps,loss,plain,smorl
237,47600,4.615690231323242,4.096,0.52
238,47800,4.228291988372803,3.798,0.43
239,48000,5.299368858337402,4.843,0.456
240,48200,5.229328155517578,4.704,0.525
241,48400,4.9107561111450195,4.407,0.504
242,48600,4.859332084655762,4.337,0.522
243,48800,5.159512519836426,4.711,0.448
244,49000,4.739596366882324,4.316,0.423
245,49200,4.791719436645508,4.342,0.449
246,49400,4.772213459014893,4.312,0.46
247,49600,4.8559980392456055,4.351,0.505
248,49800,4.691166400909424,4.126,0.565
249,50000,4.5441365242004395,4.089,0.456
250,50200,5.312299728393555,4.87,0.442
251,50400,4.351518630981445,3.868,0.483
252,50600,4.098098278045654,3.564,0.534
253,50800,4.6012372970581055,4.091,0.51
254,51000,4.3249006271362305,3.853,0.472
255,51200,4.910208225250244,4.414,0.497
256,51400,4.746809959411621,4.207,0.54
257,51600,4.482813835144043,3.975,0.508
258,51800,4.946805953979492,4.416,0.531
259,52000,5.040017604827881,4.566,0.474
260,52200,4.5510735511779785,4.077,0.474
261,52400,4.591073513031006,4.042,0.55
262,52600,4.524623870849609,4.065,0.46
263,52800,5.0712432861328125,4.614,0.457
264,53000,4.6450090408325195,4.127,0.518
265,53200,4.471535682678223,3.944,0.528
266,53400,4.623733043670654,4.098,0.526
267,53600,4.985497951507568,4.52,0.465
268,53800,4.507112503051758,4.033,0.474
269,54000,4.774572372436523,4.346,0.428
270,54200,4.659228801727295,4.135,0.524
271,54400,4.620729446411133,4.182,0.439
272,54600,3.8236191272735596,3.368,0.455
273,54800,4.186944961547852,3.665,0.522
274,55000,4.5543951988220215,4.014,0.54
275,55200,4.538926124572754,4.038,0.501
276,55400,4.47824764251709,3.923,0.555
277,55600,4.86610221862793,4.268,0.598
278,55800,4.700721263885498,4.203,0.498
279,56000,4.680309295654297,4.263,0.417
280,56200,4.498581409454346,4.019,0.48
281,56400,4.359708786010742,3.912,0.448
282,56600,4.584225177764893,4.036,0.549
283,56800,4.913140773773193,4.327,0.586
284,57000,4.417860984802246,3.936,0.482
285,57200,4.4248046875,3.926,0.499
286,57400,4.936811923980713,4.472,0.465
287,57600,4.908388137817383,4.413,0.495
288,57800,4.948124408721924,4.489,0.459
289,58000,4.305710315704346,3.75,0.556
290,58200,4.019209861755371,3.623,0.396
291,58400,4.14536714553833,3.706,0.439
292,58600,4.355915069580078,3.778,0.578
293,58800,4.766917705535889,4.267,0.5
294,59000,4.412853240966797,3.984,0.429
295,59200,4.262513160705566,3.757,0.506
296,59400,4.283941268920898,3.771,0.513
297,59600,4.779470920562744,4.177,0.603
298,59800,4.523475646972656,4.109,0.414
