,steps,loss
0,200,8.278901100158691
1,400,7.220636367797852
2,600,6.638854503631592
3,800,6.756600856781006
4,1000,6.407105445861816
5,1200,6.598395824432373
6,1400,6.333100318908691
7,1600,6.300656795501709
8,1800,6.264656066894531
9,2000,6.226328372955322
10,2200,6.427644729614258
11,2400,6.144624710083008
12,2600,5.949085235595703
13,2800,6.062253952026367
14,3000,5.836416244506836
15,3200,6.5488739013671875
16,3400,6.1360297203063965
17,3600,5.684607982635498
18,3800,5.307943344116211
19,4000,5.1624603271484375
20,4200,5.37618350982666
21,4400,5.606053829193115
22,4600,5.463716506958008
23,4800,5.5815110206604
24,5000,5.8406147956848145
25,5200,5.669985771179199
26,5400,5.625426769256592
27,5600,5.914655685424805
28,5800,5.6669745445251465
29,6000,5.595161437988281
30,6200,5.186558723449707
31,6400,5.566101551055908
32,6600,5.488949775695801
33,6800,5.501575946807861
34,7000,5.676571846008301
35,7200,5.696406364440918
36,7400,5.277576923370361
37,7600,5.2179179191589355
38,7800,5.0459465980529785
39,8000,5.166643142700195
40,8200,5.336907386779785
41,8400,5.331064224243164
42,8600,5.529815196990967
43,8800,5.14089298248291
44,9000,5.129242897033691
45,9200,5.344778060913086
46,9400,5.336360454559326
47,9600,5.540500640869141
48,9800,5.439386367797852
49,10000,5.2666916847229
50,10200,5.050360679626465
51,10400,5.9265055656433105
52,10600,5.246272087097168
53,10800,5.526766777038574
54,11000,5.328920841217041
55,11200,5.399427890777588
56,11400,5.000638961791992
57,11600,5.131835460662842
58,11800,5.0968475341796875
59,12000,5.259285926818848
60,12200,5.415490627288818
61,12400,5.106616020202637
62,12600,5.370730876922607
63,12800,5.249203205108643
64,13000,5.481156349182129
65,13200,5.459824562072754
66,13400,5.355813503265381
67,13600,5.3527679443359375
68,13800,5.103971481323242
69,14000,5.732359886169434
70,14200,5.599999904632568
71,14400,5.461688995361328
72,14600,5.313680648803711
73,14800,5.095125198364258
74,15000,5.061879634857178
75,15200,5.047550201416016
76,15400,5.5267653465271
77,15600,4.901558876037598
78,15800,5.456313133239746
79,16000,4.78505802154541
80,16200,5.159924030303955
81,16400,5.215384483337402
82,16600,5.096747398376465
83,16800,5.1567816734313965
84,17000,5.10258674621582
85,17200,5.256793022155762
86,17400,5.309080123901367
87,17600,5.12655782699585
88,17800,5.498007774353027
89,18000,5.397555351257324
90,18200,4.939569473266602
91,18400,5.123498916625977
92,18600,5.167381763458252
93,18800,5.355081558227539
94,19000,4.742067337036133
95,19200,5.316866874694824
96,19400,5.181326866149902
97,19600,4.893341064453125
98,19800,5.048675537109375
99,20000,5.210975646972656
100,20200,5.231433868408203
101,20400,5.355920791625977
102,20600,5.136493682861328
103,20800,5.210821151733398
104,21000,5.482832908630371
105,21200,5.46009635925293
106,21400,5.531007289886475
107,21600,5.1618170738220215
108,21800,4.466357707977295
109,22000,4.654537677764893
110,22200,5.03449821472168
111,22400,5.184101581573486
112,22600,4.866909027099609
113,22800,5.208623886108398
114,23000,5.402055740356445
115,23200,5.071953773498535
116,23400,5.176937580108643
117,23600,5.097037315368652
118,23800,5.087264060974121
119,24000,5.427902698516846
120,24200,4.970886707305908
121,24400,4.725095748901367
122,24600,5.148590087890625
123,24800,5.102593421936035
124,25000,5.316563606262207
125,25200,5.285486221313477
126,25400,4.803112030029297
127,25600,4.833425521850586
128,25800,4.956350803375244
129,26000,4.936960697174072
130,26200,4.8671088218688965
131,26400,4.726873874664307
132,26600,5.024384021759033
133,26800,5.203428745269775
134,27000,5.01362943649292
135,27200,5.261746883392334
136,27400,4.834352493286133
137,27600,5.055843830108643
138,27800,5.447567462921143
139,28000,5.052292823791504
140,28200,5.369487285614014
141,28400,5.194127082824707
142,28600,5.367060661315918
143,28800,5.249571323394775
144,29000,5.00002384185791
145,29200,5.142148494720459
146,29400,4.893497467041016
147,29600,4.887392997741699
148,29800,5.116999626159668
149,30000,4.961755752563477
150,30200,4.824651718139648
151,30400,5.136906623840332
152,30600,5.060191631317139
153,30800,5.2156147956848145
154,31000,4.797005653381348
155,31200,5.190426349639893
156,31400,5.206856727600098
157,31600,5.02845573425293
158,31800,5.339241981506348
159,32000,4.954933166503906
160,32200,5.188037872314453
161,32400,4.884923934936523
162,32600,5.119565963745117
163,32800,4.974950313568115
