,steps,loss
0,200,8.497289657592773
1,400,7.472838878631592
2,600,7.259871006011963
3,800,6.297383785247803
4,1000,6.611213207244873
5,1200,6.288819789886475
6,1400,6.354323863983154
7,1600,6.319055080413818
8,1800,6.11129903793335
9,2000,6.2099456787109375
10,2200,5.603335380554199
11,2400,6.04118013381958
12,2600,5.843081951141357
13,2800,6.0312981605529785
14,3000,6.189025402069092
15,3200,6.240469932556152
16,3400,6.07194709777832
17,3600,5.379603862762451
18,3800,4.963068962097168
19,4000,5.446249485015869
20,4200,5.734585285186768
21,4400,5.439969539642334
22,4600,5.342713356018066
23,4800,5.53117561340332
24,5000,5.396692276000977
25,5200,5.5574493408203125
26,5400,5.676390171051025
27,5600,5.60266637802124
28,5800,5.623276233673096
29,6000,5.252650260925293
30,6200,5.55379581451416
31,6400,5.568070411682129
32,6600,5.6492204666137695
33,6800,5.53553581237793
34,7000,5.590545177459717
35,7200,5.805269241333008
36,7400,4.760673999786377
37,7600,5.480497360229492
38,7800,5.000935077667236
39,8000,5.436777114868164
40,8200,5.228473663330078
41,8400,5.305768966674805
42,8600,5.528630256652832
43,8800,5.310606002807617
44,9000,5.408623695373535
45,9200,5.352104663848877
46,9400,5.330474376678467
47,9600,5.278477191925049
48,9800,5.368206024169922
49,10000,5.210659503936768
50,10200,5.7629923820495605
51,10400,5.665255069732666
52,10600,5.813647270202637
53,10800,5.634543418884277
54,11000,5.054168224334717
55,11200,5.528091907501221
56,11400,5.093505859375
57,11600,4.703795433044434
58,11800,5.176723957061768
59,12000,5.1124958992004395
60,12200,5.0898661613464355
61,12400,5.425821304321289
62,12600,5.156535625457764
63,12800,5.010935306549072
64,13000,5.700913429260254
65,13200,5.123980522155762
66,13400,5.385870456695557
67,13600,5.415154933929443
68,13800,5.437943458557129
69,14000,5.15410041809082
70,14200,5.360283374786377
71,14400,5.360457420349121
72,14600,4.654463291168213
73,14800,4.680455684661865
74,15000,4.868509292602539
75,15200,5.052544116973877
76,15400,5.050555229187012
77,15600,4.847620487213135
78,15800,4.902933120727539
79,16000,4.975063323974609
80,16200,5.2558369636535645
81,16400,5.128259181976318
82,16600,5.039237022399902
83,16800,4.974747657775879
84,17000,5.376641273498535
85,17200,5.109464168548584
86,17400,5.55906343460083
87,17600,5.079178810119629
88,17800,5.305375099182129
89,18000,5.183347702026367
90,18200,4.797123432159424
91,18400,4.762901782989502
92,18600,5.345317840576172
93,18800,4.965887069702148
94,19000,5.1534037590026855
95,19200,4.828419208526611
96,19400,5.05748176574707
97,19600,4.770391941070557
98,19800,5.208680152893066
99,20000,5.443634510040283
100,20200,5.205534934997559
101,20400,5.195195198059082
102,20600,5.158005714416504
103,20800,5.327694416046143
104,21000,5.12333869934082
105,21200,5.521644592285156
106,21400,5.042215824127197
107,21600,5.0890913009643555
108,21800,4.946646690368652
109,22000,4.945143222808838
110,22200,4.840378284454346
111,22400,4.860113143920898
112,22600,4.593798637390137
113,22800,4.8496294021606445
114,23000,4.846640586853027
115,23200,4.59254789352417
116,23400,5.098396301269531
117,23600,4.918996334075928
118,23800,5.160834312438965
119,24000,4.953682899475098
120,24200,5.1323347091674805
121,24400,5.003887176513672
122,24600,4.932603359222412
123,24800,5.441751480102539
124,25000,5.480660915374756
125,25200,5.058714866638184
126,25400,4.839240074157715
127,25600,4.328761100769043
128,25800,4.662026882171631
129,26000,4.602795124053955
130,26200,4.602549076080322
131,26400,4.517810344696045
132,26600,4.777027606964111
133,26800,4.710247039794922
134,27000,4.7911152839660645
135,27200,4.969620227813721
136,27400,4.772603511810303
137,27600,4.823891639709473
138,27800,4.6591596603393555
139,28000,4.903841972351074
140,28200,5.3126115798950195
141,28400,5.292755603790283
142,28600,5.103000640869141
143,28800,4.899796962738037
144,29000,4.3583502769470215
145,29200,4.666268825531006
146,29400,4.507472038269043
147,29600,4.4947357177734375
148,29800,4.643655300140381
149,30000,4.681741237640381
150,30200,4.676126003265381
151,30400,4.724907398223877
152,30600,4.852224349975586
153,30800,4.711612701416016
154,31000,4.715068817138672
155,31200,5.3298749923706055
156,31400,4.785513877868652
157,31600,4.824869155883789
158,31800,4.8617072105407715
159,32000,5.002300262451172
160,32200,4.717064380645752
161,32400,4.914905548095703
162,32600,4.503350734710693
163,32800,4.424968719482422
164,33000,4.843839645385742
165,33200,4.386566162109375
166,33400,4.587896347045898
167,33600,4.788342475891113
168,33800,4.588033676147461
169,34000,4.831675052642822
170,34200,4.8180341720581055
171,34400,4.7329277992248535
172,34600,4.850658893585205
173,34800,4.571897983551025
174,35000,5.136255741119385
175,35200,4.769576072692871
176,35400,4.556262969970703
177,35600,4.687534332275391
178,35800,5.0160040855407715
179,36000,5.327385902404785
180,36200,4.409356117248535
181,36400,4.6885786056518555
182,36600,4.779110431671143
183,36800,4.304090976715088
184,37000,4.479515075683594
185,37200,4.905461311340332
186,37400,4.673171043395996
187,37600,4.82029914855957
188,37800,4.749788761138916
189,38000,4.712259769439697
190,38200,5.079737663269043
191,38400,4.851004123687744
192,38600,4.925835132598877
193,38800,4.9647111892700195
194,39000,4.899895668029785
195,39200,4.849660873413086
196,39400,5.224771976470947
197,39600,4.900233745574951
198,39800,4.617983818054199
199,40000,4.416784286499023
200,40200,4.397655487060547
201,40400,4.44555139541626
202,40600,4.495264053344727
203,40800,4.718441486358643
204,41000,4.705341815948486
205,41200,5.059361934661865
206,41400,4.762214660644531
207,41600,4.934658050537109
208,41800,4.64021635055542
209,42000,4.639190196990967
210,42200,5.216534614562988
211,42400,5.029088973999023
212,42600,4.631796836853027
213,42800,5.096848964691162
214,43000,4.677235126495361
215,43200,5.13601541519165
216,43400,4.176107406616211
217,43600,4.266822338104248
218,43800,4.870176792144775
219,44000,4.4207916259765625
220,44200,4.567747592926025
221,44400,4.540295600891113
222,44600,4.435148239135742
223,44800,4.411120414733887
224,45000,5.106265544891357
225,45200,4.778632640838623
226,45400,4.885037422180176
227,45600,5.011774063110352
228,45800,4.62432861328125
229,46000,4.795624256134033
230,46200,4.366087913513184
231,46400,5.2301812171936035
232,46600,4.785248279571533
233,46800,4.78094482421875
234,47000,3.9110591411590576
235,47200,4.527164936065674
236,47400,4.277607440948486
237,47600,4.548580169677734
238,47800,4.442808628082275
239,48000,4.50759220123291
240,48200,4.631848335266113
241,48400,4.499305248260498
242,48600,4.698373794555664
243,48800,4.796960353851318
244,49000,5.211796760559082
245,49200,4.863038063049316
246,49400,4.664808750152588
247,49600,4.8018388748168945
248,49800,5.0287766456604
249,50000,4.711104393005371
250,50200,4.979440689086914
251,50400,4.983366966247559
252,50600,4.293173313140869
253,50800,4.279695510864258
254,51000,4.615407943725586
255,51200,4.222360134124756
256,51400,4.483404159545898
257,51600,4.274479866027832
258,51800,4.247026443481445
259,52000,4.806100368499756
260,52200,4.541006088256836
261,52400,4.927157878875732
262,52600,4.750345706939697
263,52800,4.566864013671875
264,53000,4.857834339141846
265,53200,4.851471900939941
266,53400,4.767611980438232
267,53600,4.8851728439331055
268,53800,5.097334384918213
269,54000,4.867343425750732
270,54200,4.489938259124756
271,54400,4.483493328094482
272,54600,4.201143264770508
273,54800,4.1262407302856445
274,55000,4.5204758644104
275,55200,4.583101749420166
276,55400,4.735970497131348
277,55600,4.773436069488525
278,55800,4.642092704772949
279,56000,4.462433815002441
280,56200,4.768110752105713
281,56400,4.893803596496582
282,56600,4.468474388122559
283,56800,5.179466247558594
284,57000,5.053361892700195
285,57200,4.871438980102539
286,57400,4.835879325866699
287,57600,4.931755065917969
288,57800,4.684459686279297
289,58000,4.402215480804443
290,58200,4.3454790115356445
291,58400,4.359168529510498
292,58600,4.346668243408203
293,58800,4.579848766326904
294,59000,4.6623005867004395
295,59200,4.276217937469482
296,59400,4.696644306182861
297,59600,4.526036262512207
298,59800,4.735950946807861
299,60000,4.891045570373535
300,60200,4.809604644775391
301,60400,4.727088928222656
302,60600,5.06334114074707
303,60800,4.584988117218018
304,61000,4.807032108306885
305,61200,5.040336608886719
306,61400,4.933368682861328
307,61600,3.8693809509277344
308,61800,4.35334587097168
309,62000,4.2882490158081055
310,62200,4.14128303527832
311,62400,4.460787773132324
312,62600,4.4605393409729
313,62800,4.680373191833496
314,63000,4.407168865203857
315,63200,4.804034233093262
316,63400,4.569842338562012
317,63600,4.458393096923828
318,63800,4.916153907775879
319,64000,4.744724273681641
320,64200,4.358712196350098
321,64400,4.680873394012451
322,64600,4.952425956726074
323,64800,4.787809371948242
324,65000,5.008670806884766
325,65200,4.433065891265869
326,65400,4.410084247589111
327,65600,4.5486297607421875
