,steps,loss,plain,smorl
0,200,8.702622413635254,8.621,0.082
1,400,8.12299919128418,7.869,0.254
2,600,7.326833248138428,6.972,0.355
3,800,6.948520660400391,6.577,0.371
4,1000,6.749571323394775,6.387,0.362
5,1200,6.873833179473877,6.474,0.4
6,1400,6.746643543243408,6.337,0.41
7,1600,6.4245076179504395,6.011,0.414
8,1800,6.3368706703186035,5.909,0.428
9,2000,6.491042137145996,5.895,0.596
10,2200,6.427852630615234,5.997,0.431
11,2400,6.214090347290039,5.694,0.52
12,2600,6.4175705909729,5.956,0.461
13,2800,5.9247727394104,5.484,0.441
14,3000,6.006463050842285,5.447,0.559
15,3200,6.196386337280273,5.592,0.604
16,3400,6.025604248046875,5.465,0.56
17,3600,5.856787204742432,5.298,0.559
18,3800,5.585574626922607,5.094,0.491
19,4000,5.923009872436523,5.356,0.567
20,4200,5.811017990112305,5.275,0.536
21,4400,5.855329513549805,5.301,0.554
22,4600,5.408682346343994,4.906,0.503
23,4800,5.643157482147217,5.084,0.559
24,5000,5.824003219604492,5.313,0.511
25,5200,5.987547397613525,5.452,0.536
26,5400,5.7681474685668945,5.252,0.516
27,5600,5.543637752532959,4.938,0.605
28,5800,4.905555725097656,4.369,0.537
29,6000,5.229898452758789,4.753,0.477
30,6200,5.095499038696289,4.602,0.493
31,6400,4.977907180786133,4.513,0.465
32,6600,5.171576976776123,4.707,0.464
33,6800,5.547342777252197,5.151,0.397
34,7000,5.586596488952637,5.009,0.577
35,7200,5.604893684387207,5.165,0.439
36,7400,5.554101467132568,5.099,0.455
37,7600,5.279541015625,4.75,0.529
38,7800,5.685763359069824,5.163,0.522
39,8000,5.432083606719971,5.016,0.416
40,8200,5.291579246520996,4.84,0.452
41,8400,5.333577632904053,4.887,0.447
42,8600,4.958059787750244,4.483,0.476
43,8800,5.1055006980896,4.564,0.542
44,9000,5.017762660980225,4.56,0.458
45,9200,5.651939392089844,5.105,0.547
46,9400,5.31342077255249,4.853,0.46
47,9600,5.037494659423828,4.636,0.401
48,9800,4.860896587371826,4.425,0.436
49,10000,5.034727573394775,4.562,0.472
50,10200,5.025569915771484,4.677,0.349
51,10400,5.482193946838379,5.078,0.404
